"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Juan\dev\react\modisteria\src\App.css", "CSS", 0, 36, 0, 0, 6, 42
"c:\Users\Juan\dev\react\modisteria\src\App.jsx", "JavaScript JSX", 34, 0, 0, 0, 2, 36
"c:\Users\Juan\dev\react\modisteria\src\assets\constants.d.js", "JavaScript", 0, 0, 8, 0, 2, 10
"c:\Users\Juan\dev\react\modisteria\src\assets\test.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\Juan\dev\react\modisteria\src\components\input_basico\Input.jsx", "JavaScript JSX", 41, 0, 0, 1, 2, 44
"c:\Users\Juan\dev\react\modisteria\src\components\input_basico\input.css", "CSS", 0, 41, 0, 1, 7, 49
"c:\Users\Juan\dev\react\modisteria\src\components\input_otp\Otp.jsx", "JavaScript JSX", 49, 0, 0, 0, 2, 51
"c:\Users\Juan\dev\react\modisteria\src\components\input_otp\otp.css", "CSS", 0, 13, 0, 0, 2, 15
"c:\Users\Juan\dev\react\modisteria\src\components\layoutManuela\LayoutDashboard.jsx", "JavaScript JSX", 10, 0, 0, 1, 0, 11
"c:\Users\Juan\dev\react\modisteria\src\components\layoutManuela\layoutdashboard.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\Juan\dev\react\modisteria\src\components\layout\Layout.jsx", "JavaScript JSX", 162, 0, 0, 0, 8, 170
"c:\Users\Juan\dev\react\modisteria\src\components\layout\layout.css", "CSS", 0, 393, 0, 14, 49, 456
"c:\Users\Juan\dev\react\modisteria\src\components\loading\Loading.jsx", "JavaScript JSX", 53, 0, 0, 0, 3, 56
"c:\Users\Juan\dev\react\modisteria\src\components\loading\loading.css", "CSS", 0, 82, 0, 2, 16, 100
"c:\Users\Juan\dev\react\modisteria\src\components\metadata\Metadata.js", "JavaScript", 0, 0, 7, 0, 1, 8
"c:\Users\Juan\dev\react\modisteria\src\components\modal\Modal.jsx", "JavaScript JSX", 38, 0, 0, 0, 6, 44
"c:\Users\Juan\dev\react\modisteria\src\components\modal\modal.css", "CSS", 0, 51, 0, 0, 7, 58
"c:\Users\Juan\dev\react\modisteria\src\components\productoCarrito\ProductoCarrito.jsx", "JavaScript JSX", 46, 0, 0, 0, 3, 49
"c:\Users\Juan\dev\react\modisteria\src\components\producto\Producto.jsx", "JavaScript JSX", 216, 0, 0, 0, 4, 220
"c:\Users\Juan\dev\react\modisteria\src\components\svg\Svg.jsx", "JavaScript JSX", 325, 0, 0, 0, 9, 334
"c:\Users\Juan\dev\react\modisteria\src\context\CartContext.jsx", "JavaScript JSX", 69, 0, 0, 0, 4, 73
"c:\Users\Juan\dev\react\modisteria\src\context\JWTContext.jsx", "JavaScript JSX", 25, 0, 0, 0, 2, 27
"c:\Users\Juan\dev\react\modisteria\src\hooks\useCatalogo.js", "JavaScript", 0, 0, 28, 0, 1, 29
"c:\Users\Juan\dev\react\modisteria\src\hooks\useDebounce.js", "JavaScript", 0, 0, 11, 0, 0, 11
"c:\Users\Juan\dev\react\modisteria\src\hooks\useJwt.js", "JavaScript", 0, 0, 6, 0, 1, 7
"c:\Users\Juan\dev\react\modisteria\src\hooks\useLLM.js", "JavaScript", 0, 0, 87, 0, 6, 93
"c:\Users\Juan\dev\react\modisteria\src\hooks\useSessionModals.js", "JavaScript", 0, 0, 75, 0, 6, 81
"c:\Users\Juan\dev\react\modisteria\src\index.css", "CSS", 0, 44, 0, 0, 7, 51
"c:\Users\Juan\dev\react\modisteria\src\main.jsx", "JavaScript JSX", 15, 0, 0, 0, 1, 16
"c:\Users\Juan\dev\react\modisteria\src\pages\Citas\Citas.jsx", "JavaScript JSX", 215, 0, 0, 0, 16, 231
"c:\Users\Juan\dev\react\modisteria\src\pages\Citas\citas.css", "CSS", 0, 507, 0, 5, 58, 570
"c:\Users\Juan\dev\react\modisteria\src\pages\catalogo\Catalogo.jsx", "JavaScript JSX", 105, 0, 0, 1, 7, 113
"c:\Users\Juan\dev\react\modisteria\src\pages\catalogo\catalogo.css", "CSS", 0, 496, 0, 4, 46, 546
"c:\Users\Juan\dev\react\modisteria\src\pages\error404\Error404.jsx", "JavaScript JSX", 12, 0, 0, 0, 1, 13
"c:\Users\Juan\dev\react\modisteria\src\pages\estadisticas\Estadisticas.jsx", "JavaScript JSX", 7, 0, 0, 1, 1, 9
"c:\Users\Juan\dev\react\modisteria\src\pages\estadisticas\estadisticas.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\Juan\dev\react\modisteria\src\pages\home\Home.jsx", "JavaScript JSX", 156, 0, 0, 0, 10, 166
"c:\Users\Juan\dev\react\modisteria\src\pages\home\home.css", "CSS", 0, 154, 0, 0, 26, 180
"c:\Users\Juan\dev\react\modisteria\src\pages\register\Register.jsx", "JavaScript JSX", 151, 0, 0, 4, 5, 160
"c:\Users\Juan\dev\react\modisteria\src\pages\register\register.css", "CSS", 0, 98, 0, 2, 19, 119
"c:\Users\Juan\dev\react\modisteria\src\pages\sesion\Sesion.jsx", "JavaScript JSX", 214, 0, 0, 5, 10, 229
"c:\Users\Juan\dev\react\modisteria\src\pages\sesion\sesion.css", "CSS", 0, 123, 0, 2, 19, 144
"c:\Users\Juan\dev\react\modisteria\src\pages\venta\Venta.jsx", "JavaScript JSX", 38, 0, 0, 0, 1, 39
"c:\Users\Juan\dev\react\modisteria\src\pages\venta\venta.css", "CSS", 0, 36, 0, 0, 2, 38
"Total", "-", 1981, 2074, 222, 43, 381, 4701
